subid, subage, counter, trialtype, chosetarget, choselure, targetname, chosenname, colorasked, searchtype, choseunique, targetshape, targetcolor, targetword, distractorshape1, distractorshape2, distractorcolor1, distractorcolor2, distractorcolor3, date, timestamp, rtsearch, targetpos, lurepos, obj1shape, obj1color, obj2shape, obj2color, obj3shape, obj3color, obj4shape, obj4color 
subid, subage, counter, trialtype, chosetarget, choselure, targetname, chosenname, colorasked, searchtype, choseunique, targetshape, targetcolor, targetword, distractorshape1, distractorshape2, distractorcolor1, distractorcolor2, distractorcolor3, date, timestamp, rtsearch, targetpos, lurepos 
1,5,1,2,false,false,4blue.jpg,stim-images/object4purple.jpg,true,sedivy,false,4,blue,dax,7,8,purple,green,None,6/26/2018,13:47,18312,4,0
1,5,2,5,true,false,14green.jpg,14green.jpg,false,colorfoil,true,14,green,gade,13,None,blue,red,None,6/26/2018,13:47,8789,3,2
1,5,3,4,true,false,12red.jpg,12red.jpg,true,uniquetarget,true,12,red,koba,11,None,blue,purple,green,6/26/2018,13:47,5279,4,2
1,5,4,1,false,true,3purple.jpg,stim-images/object10green.jpg,false,sedivy,true,3,purple,toma,2,10,blue,green,None,6/26/2018,13:47,10158,1,2
1,5,5,1,false,true,3purple.jpg,stim-images/object10green.jpg,false,sedivy,true,3,purple,toma,2,10,blue,green,None,6/26/2018,13:47,10658,1,2
1,5,6,6,true,false,5blue.jpg,5blue.jpg,true,colorfoil,true,5,blue,sprock,9,None,purple,green,None,6/26/2018,13:47,5176,1,3
2,3,1,5,true,false,2blue.jpg,2blue.jpg,false,colorfoil,true,2,blue,wug,8,None,green,red,None,6/26/2018,14:15,7767,2,1
2,3,4,3,false,false,4blue.jpg,stim-images/object5green.jpg,false,uniquetarget,false,4,blue,blicket,5,None,red,green,purple,6/26/2018,14:15,12665,1,1
2,3,5,6,true,false,14red.jpg,14red.jpg,true,colorfoil,true,14,red,koba,13,None,green,purple,None,6/26/2018,14:15,11248,3,1
2,3,6,4,true,false,6green.jpg,6green.jpg,true,uniquetarget,true,6,green,gade,3,None,red,purple,blue,6/26/2018,14:15,7472,1,1
0,0,1,3,true,false,12purple.jpg,12purple.jpg,false,uniquetarget,true,12,purple,blicket,6,None,red,blue,green,6/26/2018,14:19,4374,3,0
0,1,1,2,true,false,14red.jpg,14red.jpg,true,sedivy,false,14,red,koba,6,12,green,blue,None,6/26/2018,14:36,4611,1,0
0,1,2,3,false,false,5purple.jpg,stim-images/object4blue.jpg,false,uniquetarget,false,5,purple,sprock,4,None,green,red,blue,6/26/2018,14:36,574,2,0
0,1,3,3,true,false,5purple.jpg,5purple.jpg,false,uniquetarget,true,5,purple,sprock,4,None,green,red,blue,6/26/2018,14:36,1027,2,0
0,1,4,6,false,false,1green.jpg,stim-images/object7purple.jpg,true,colorfoil,false,1,green,blicket,7,None,red,purple,None,6/26/2018,14:36,10943,4,1
0,1,5,6,true,false,1green.jpg,1green.jpg,true,colorfoil,true,1,green,blicket,7,None,red,purple,None,6/26/2018,14:36,10971,4,1
0,1,6,5,false,true,11green.jpg,stim-images/object13green.jpg,false,colorfoil,false,11,green,dax,13,None,purple,blue,None,6/26/2018,14:36,7647,3,4
